Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],Smith [m],Smith_corrected [m]
05/11/2015 04:15:00,10.1347,,85.658,85.6775
05/11/2015 04:30:00,10.1335,,85.659,85.6771
05/11/2015 04:45:00,10.1333,,85.66,85.6768
05/11/2015 05:00:00,10.1331,,85.66,85.6752
05/11/2015 05:15:00,10.1322,,85.662,85.6752
05/11/2015 05:30:00,10.1311,,85.663,85.6743
05/11/2015 05:45:00,10.1303,,85.667,85.6767
05/11/2015 06:00:00,10.1294,,85.669,85.6769
05/11/2015 06:15:00,10.1282,,85.67,85.6764
05/11/2015 06:30:00,10.1265,,85.672,85.6772
05/11/2015 06:45:00,10.1235,,85.673,85.676
05/11/2015 07:00:00,10.1204,,85.675,85.6764
05/11/2015 07:15:00,10.1188,,85.676,85.6759
05/11/2015 07:30:00,10.1175,,85.678,85.6769
05/11/2015 07:45:00,10.1157,,85.679,85.6768
05/11/2015 08:00:00,10.1137,,85.68,85.677
05/11/2015 08:15:00,10.1111,,85.681,85.6772
05/11/2015 08:30:00,10.1088,,85.683,85.6787
05/11/2015 08:45:00,10.1077,,85.683,85.6786
05/11/2015 09:00:00,10.1069,,85.683,85.6784
05/11/2015 09:15:00,10.1054,,85.685,85.6802
05/11/2015 09:30:00,10.1039,,85.684,85.6791
05/11/2015 09:45:00,10.1029,,85.682,85.6773
05/11/2015 10:00:00,10.1023,,85.682,85.6776
05/11/2015 10:15:00,10.1023,,85.683,85.6795
05/11/2015 10:30:00,10.1023,,85.682,85.6791
05/11/2015 10:45:00,10.1019,,85.68,85.6779
05/11/2015 11:00:00,10.1015,,85.679,85.6777
05/11/2015 11:15:00,10.1015,,85.677,85.6767
05/11/2015 11:30:00,10.1021,,85.676,85.6769
05/11/2015 11:45:00,10.1036,,85.673,85.6756
05/11/2015 12:00:00,10.1055,,85.672,85.6761
05/11/2015 12:15:00,10.1069,,85.668,85.6739
05/11/2015 12:30:00,10.1086,,85.666,85.6735
05/11/2015 12:45:00,10.1111,,85.664,85.6731
05/11/2015 13:00:00,10.1138,,85.661,85.6719
05/11/2015 13:15:00,10.1164,,85.659,85.6714
05/11/2015 13:30:00,10.1189,,85.657,85.6706
05/11/2015 13:45:00,10.1215,,85.655,85.67
05/11/2015 14:00:00,10.124,,85.652,85.6683
05/11/2015 14:15:00,10.126,,85.65,85.6672
05/11/2015 14:30:00,10.128,,85.648,85.6663
05/11/2015 14:45:00,10.1302,,85.646,85.665
05/11/2015 15:00:00,10.1325,,85.645,85.6646
05/11/2015 15:15:00,10.1347,,85.644,85.6641
05/11/2015 15:30:00,10.1367,,85.643,85.6632
05/11/2015 15:45:00,10.1386,,85.641,85.6612
05/11/2015 16:00:00,10.1402,,85.641,85.6609
05/11/2015 16:15:00,10.1411,,85.64,85.6599
05/11/2015 16:30:00,10.1419,,85.641,85.6602
05/11/2015 16:45:00,10.1433,,85.641,85.6598
05/11/2015 17:00:00,10.1442,,85.64,85.6579
05/11/2015 17:15:00,10.1434,,85.64,85.6568
05/11/2015 17:30:00,10.1426,,85.642,85.6577
05/11/2015 17:45:00,10.1439,,85.642,85.6572
05/11/2015 18:00:00,10.1451,,85.641,85.6554
05/11/2015 18:15:00,10.1439,,85.641,85.6539
05/11/2015 18:30:00,10.1426,,85.641,85.6532
05/11/2015 18:45:00,10.1432,,85.642,85.6535
05/11/2015 19:00:00,10.1442,,85.643,85.6542
05/11/2015 19:15:00,10.1445,,85.643,85.6537
05/11/2015 19:30:00,10.1444,,85.644,85.6546
05/11/2015 19:45:00,10.1438,,85.644,85.6544
05/11/2015 20:00:00,10.1431,,85.644,85.6544
05/11/2015 20:15:00,10.1426,,85.642,85.6525
05/11/2015 20:30:00,10.1423,,85.642,85.6528
05/11/2015 20:45:00,10.1421,,85.642,85.6534
05/11/2015 21:00:00,10.1423,,85.638,85.6504
05/11/2015 21:15:00,10.1429,,85.636,85.6497
05/11/2015 21:30:00,10.144,,85.636,85.6506
05/11/2015 21:45:00,10.1456,,85.634,85.6503
05/11/2015 22:00:00,10.1474,,85.632,85.6497
05/11/2015 22:15:00,10.1487,,85.63,85.6492
05/11/2015 22:30:00,10.1501,,85.627,85.6479
05/11/2015 22:45:00,10.1517,,85.624,85.6464
05/11/2015 23:00:00,10.1537,,85.622,85.6461
05/11/2015 23:15:00,10.1563,,85.619,85.6451
05/11/2015 23:30:00,10.1592,,85.618,85.646
05/11/2015 23:45:00,10.1621,,85.617,85.6468
06/11/2015 00:00:00,10.1646,,85.616,85.6475
06/11/2015 00:15:00,10.1663,,85.614,85.6471
06/11/2015 00:30:00,10.1677,,85.612,85.6466
06/11/2015 00:45:00,10.1689,,85.61,85.6461
06/11/2015 01:00:00,10.1702,,85.608,85.6452
06/11/2015 01:15:00,10.1723,,85.606,85.6442
06/11/2015 01:30:00,10.1749,,85.608,85.6471
06/11/2015 01:45:00,10.1784,,85.606,85.6458
06/11/2015 02:00:00,10.1815,,85.605,85.6455
06/11/2015 02:15:00,10.1827,,85.606,85.6467
